"id","from","to","payment","information","receipt_id"
1,2,3,false,mic1234 had sent you a receipt. Please claim your item asap,5
2,2,5,false,mic1234 had sent you a receipt. Please claim your item asap,5
3,7,2,false,kay123 had sent you a receipt. Please claim your item asap,6
4,7,3,false,kay123 had sent you a receipt. Please claim your item asap,6
5,2,3,false,mic1234 had sent you a receipt. Please claim your item asap,7
6,2,7,false,mic1234 had sent you a receipt. Please claim your item asap,7
7,2,3,false,mic1234 had sent you a receipt. Please claim your item asap,8
8,2,5,false,mic1234 had sent you a receipt. Please claim your item asap,8
9,2,3,false,mic1234 had sent you a receipt. Please claim your item asap,9
10,2,5,false,mic1234 had sent you a receipt. Please claim your item asap,9
11,2,7,false,mic1234 had sent you a receipt. Please claim your item asap,9
12,2,3,false,mic1234 had sent you a receipt. Please claim your item asap,11
13,2,5,false,mic1234 had sent you a receipt. Please claim your item asap,11
14,2,7,false,mic1234 had sent you a receipt. Please claim your item asap,11
15,3,2,false,"Updated Claim : 
alice12345 has claimed 蔥油雖扒 -蚩飯 1;氣姥庶腕笨 with a total of 052.5",11
16,3,2,false,"Updated Claim : 
alice12345 has claimed 章魚小丸子 (6粒), 七味牛肉井 , 滑蛋吉列瀦扒井, 滑蛋吉列蠔井 with a total of 215",9
17,3,2,false,"Updated Claim : 
alice12345 has claimed 章魚小丸子 (6粒), 七味牛肉井 , 滑蛋吉列瀦扒井, 滑蛋吉列蠔井 with a total of 215",9
18,3,2,false,"Updated Claim : 
alice12345 has claimed 章魚小丸子 (6粒), 七味牛肉井 , 滑蛋吉列瀦扒井, 滑蛋吉列蠔井 with a total of 215",9
19,3,2,false,"Updated Claim : 
alice12345 has claimed 章魚小丸子 (6粒), 七味牛肉井 , 滑蛋吉列瀦扒井, 滑蛋吉列蠔井 with a total of 215",9
20,3,2,false,"Updated Claim : 
alice12345 has claimed 章魚小丸子 (6粒), 七味牛肉井 , 滑蛋吉列瀦扒井, 滑蛋吉列蠔井 with a total of 215",9
21,3,2,false,"Updated Claim : 
alice12345 has claimed 章魚小丸子 (6粒), 七味牛肉井 , 滑蛋吉列瀦扒井, 滑蛋吉列蠔井 with a total of 215",9
22,3,2,false,"Updated Claim : 
alice12345 has claimed 章魚小丸子 (6粒), 七味牛肉井 , 滑蛋吉列瀦扒井, 滑蛋吉列蠔井 with a total of 215",9
23,3,2,false,"Updated Claim : 
alice12345 has claimed 章魚小丸子 (6粒), 七味牛肉井 , 滑蛋吉列瀦扒井, 滑蛋吉列蠔井 with a total of 215",9
24,3,2,false,"Updated Claim : 
alice12345 has claimed 章魚小丸子 (6粒), 七味牛肉井 , 滑蛋吉列瀦扒井, 滑蛋吉列蠔井 with a total of 215",9
25,3,2,false,"Updated Claim : 
alice12345 has claimed 章魚小丸子 (6粒), 七味牛肉井 , 滑蛋吉列瀦扒井, 滑蛋吉列蠔井 with a total of 215",9
26,3,2,false,"Updated Claim : 
alice12345 has claimed 章創小丸子 (6粒), 七味牛肉井 1xMeko f桃紅, 2x 滑蛋吉列瀦 扒井-滑蛋吉 列猶扒并 #*多飯 2x道地鳥能茶, 1x 滑蛋吉列蠔 井-渦蛋吉列 蝮# 1xMeko 蚩桃紅 with a total of 274",5
27,3,2,true,alice12345 has paid you $ 1x 滑蛋吉列蠔 井-渦蛋吉列 蝮# 1xMeko 蚩桃紅 with a total of 274 for a receipt,5
28,3,2,true,alice12345 has paid you $ 1x 滑蛋吉列蠔 井-渦蛋吉列 蝮# 1xMeko 蚩桃紅 with a total of 274 for a receipt,5
29,3,2,true,alice12345 has paid you $274 for a receipt,5
30,3,2,false,"Updated Claim : 
alice12345 has claimed 蔥油雖扒 -蚩飯 1;氣姥庶腕笨, 招牌麻辣 菜肺肉燥飯 1;榷鳥皰雜, 蔥油雖扒 煎蛋飯 1氰船橡茶, 炸鹹蚩流心 魚蛋(5粒) with a total of 171",11
31,3,2,false,"Updated Claim : 
alice12345 has claimed 蔥油雖扒 -蚩飯 1;氣姥庶腕笨, 招牌麻辣 菜肺肉燥飯 1;榷鳥皰雜, 蔥油雖扒 煎蛋飯 1氰船橡茶, 炸鹹蚩流心 魚蛋(5粒) with a total of 171",11
32,3,2,false,"Updated Claim : 
alice12345 has claimed 蔥油雖扒 -蚩飯 1;氣姥庶腕笨, 招牌麻辣 菜肺肉燥飯 1;榷鳥皰雜, 蔥油雖扒 煎蛋飯 1氰船橡茶, 炸鹹蚩流心 魚蛋(5粒) with a total of 171",11
33,3,2,false,"Updated Claim : 
alice12345 has claimed 蔥油雖扒 -蚩飯 1;氣姥庶腕笨, 招牌麻辣 菜肺肉燥飯 1;榷鳥皰雜, 蔥油雖扒 煎蛋飯 1氰船橡茶, 炸鹹蚩流心 魚蛋(5粒) with a total of 171",11
34,2,5,false,mic1234 had sent you a receipt. Please claim your item asap,13
35,2,7,false,mic1234 had sent you a receipt. Please claim your item asap,13
36,2,3,false,mic1234 had sent you a receipt. Please claim your item asap,13
37,3,2,false,"Updated Claim : 
alice12345 has claimed 火車頭檬粉, 魚露雞扒撈檬, 香茅瀦頸肉撈檬 with a total of $174",13
