"id","item_name","price","quantity","receipt_id","item_id"
1,香茅瀦頸肉撈檬,40.04,1,3,jaktqu
2,魚露雞扒撈檬,40.04,2,3,tx0oc4
3,火車頭檬粉,53.9,1,3,riczd0
4,章創小丸子 (6粒),36,1,5,"6c7nq8"
5,七味牛肉井 1xMeko f桃紅,63.75,1,5,rll5s0
6,"2x 滑蛋吉列瀦 扒井-滑蛋吉 列猶扒并 #*多飯 2x道地鳥能茶",117,1,5,"1qwyjl"
7,"1x 滑蛋吉列蠔 井-渦蛋吉列 蝮# 1xMeko 蚩桃紅",58.5,1,5,z986wl
8,煎油雞扒,52.5,1,6,tqucjm
9,招牌麻辣菜哺肉爍飯,43.5,1,6,"883aer"
10,蔥油雖扒煎蛋飯,52.5,1,6,"7wn7mx"
11,炸鹹蛋流心角蛋(5粒) ,24,1,6,t3iv5l
12,芝土忌廉汁 牛粒煽飯,48.75,1,7,"0rv75x"
13,馬來咖喱瀦 扒飯,42,1,7,"939lun"
14,芝土煽蜜桃 去骨雖脾飯,44.25,1,7,vdalub
15,愈油難扒 郁蚩飯 %;醣扁n茶,52.5,1,8,"3zs0y2"
16,招牌麻辣 l肺肉燥飯 n氣糖鳥舵笨,43.5,1,8,zv3xus
17,蔥油雞扒 煎蛋飯 1 ;/茶,52.5,1,8,dbyk4a
18,炸鹹蚩流心 魚蛋(5粒),24,1,8,x41rb5
19,章魚小丸子 (6粒),36,1,9,tsl9ps
20,七味牛肉井 ,63.75,1,9,eit5rf
21,滑蛋吉列瀦扒井,58.5,2,9,r4f7r7
22,滑蛋吉列蠔井,58.5,1,9,w49mlo
23,蔥油雖扒 -蚩飯 1;氣姥庶腕笨,52.5,1,11,u5owb0
24,招牌麻辣 菜肺肉燥飯 1;榷鳥皰雜,43.5,1,11,b2y9vy
25,蔥油雖扒 煎蛋飯 1氰船橡茶,52.5,1,11,mery3d
26,炸鹹蚩流心 魚蛋(5粒),24,1,11,a3s39j
27,香茅瀦頸肉撈檬,52,1,13,tm8ezs
28,魚露雞扒撈檬,52,2,13,yjs241
29,火車頭檬粉,70,1,13,"8tekkv"
